,teams.home.name,teams.away.name,home_spread,odds_spread
67,Boston Celtics,Orlando Magic,17,8.5
68,San Antonio Spurs,New Orleans Pelicans,-36,-8.0
69,Milwaukee Bucks,Houston Rockets,9,7.0
70,Phoenix Suns,Washington Wizards,4,13.0
71,Portland Trail Blazers,Golden State Warriors,-4,-4.5
72,Cleveland Cavaliers,Houston Rockets,5,3.5
73,Indiana Pacers,Los Angeles Clippers,-24,-3.5
74,Philadelphia 76ers,Chicago Bulls,-4,10.5
75,Miami Heat,Minnesota Timberwolves,-4,-2.0
76,Toronto Raptors,Charlotte Hornets,15,12.0
77,Atlanta Hawks,Detroit Pistons,6,12.0
78,Oklahoma City Thunder,Memphis Grizzlies,19,10.5
79,Denver Nuggets,Dallas Mavericks,26,8.5
80,Utah Jazz,Brooklyn Nets,17,-4.0
81,Sacramento Kings,Washington Wizards,12,14.0
82,Los Angeles Lakers,New York Knicks,-5,5.0
83,New Orleans Pelicans,Memphis Grizzlies,-2,7.0
84,Milwaukee Bucks,San Antonio Spurs,13,16.5
85,Portland Trail Blazers,Phoenix Suns,5,-7.5
86,Golden State Warriors,Boston Celtics,6,-5.5
87,Cleveland Cavaliers,Utah Jazz,8,6.5
88,Indiana Pacers,Charlotte Hornets,31,10.5
89,Orlando Magic,Miami Heat,-9,5.0
90,Philadelphia 76ers,Minnesota Timberwolves,14,3.5
91,Brooklyn Nets,New York Knicks,-19,-1.0
92,Toronto Raptors,Denver Nuggets,-9,-4.5
93,Houston Rockets,Atlanta Hawks,-7,3.0
94,Chicago Bulls,Los Angeles Lakers,16,-4.5
95,Dallas Mavericks,Los Angeles Clippers,-9,-2.5
96,Sacramento Kings,Boston Celtics,-25,3.0
97,Detroit Pistons,Utah Jazz,-8,2.0
98,Cleveland Cavaliers,New Orleans Pelicans,-19,-3.5
99,Chicago Bulls,San Antonio Spurs,19,6.0
100,Memphis Grizzlies,Indiana Pacers,13,4.5
101,Milwaukee Bucks,Orlando Magic,4,9.5
102,Oklahoma City Thunder,Los Angeles Clippers,19,6.0
103,Minnesota Timberwolves,Los Angeles Lakers,7,9.5
104,Portland Trail Blazers,Washington Wizards,-1,4.0
105,Philadelphia 76ers,Toronto Raptors,10,8.0
106,Brooklyn Nets,Denver Nuggets,-5,-4.5
107,Miami Heat,Atlanta Hawks,9,1.5
108,Houston Rockets,Dallas Mavericks,26,8.0
109,Golden State Warriors,Washington Wizards,11,12.0
110,Sacramento Kings,Phoenix Suns,15,2.5
111,New York Knicks,Milwaukee Bucks,-19,-2.5
112,Los Angeles Clippers,Boston Celtics,-37,
113,Charlotte Hornets,Denver Nuggets,-7,-8.5
114,Indiana Pacers,Orlando Magic,-7,1.0
115,New Orleans Pelicans,Houston Rockets,-2,7.5
116,Brooklyn Nets,Detroit Pistons,11,9.5
117,Toronto Raptors,Utah Jazz,-7,6.0
118,Atlanta Hawks,Memphis Grizzlies,-6,-1.0
119,Chicago Bulls,Cleveland Cavaliers,-14,5.5
120,Oklahoma City Thunder,Los Angeles Lakers,-9,3.0
121,Dallas Mavericks,San Antonio Spurs,25,8.0
122,Golden State Warriors,Portland Trail Blazers,20,8.5
123,Sacramento Kings,Minnesota Timberwolves,-12,3.0
124,New York Knicks,Milwaukee Bucks,7,-3.0
125,Denver Nuggets,Golden State Warriors,6,4.5
126,Los Angeles Lakers,Boston Celtics,-11,-1.5
127,Miami Heat,Philadelphia 76ers,6,1.0
128,Phoenix Suns,Dallas Mavericks,-14,4.0
129,Washington Wizards,Orlando Magic,-8,-6.5
130,Detroit Pistons,Brooklyn Nets,-6,-6.0
131,Oklahoma City Thunder,Minnesota Timberwolves,23,4.5
132,San Antonio Spurs,Utah Jazz,-12,-2.5
133,Chicago Bulls,Atlanta Hawks,5,1.0
134,New Orleans Pelicans,Memphis Grizzlies,-1,4.5
135,Houston Rockets,Indiana Pacers,-6,2.5
