id,date,league.season,teams.home.id,teams.home.name,teams.away.id,teams.away.name,scores.home.quarter_1,scores.home.quarter_2,scores.home.quarter_3,scores.home.quarter_4,scores.home.over_time,scores.home.total,scores.away.quarter_1,scores.away.quarter_2,scores.away.quarter_3,scores.away.quarter_4,scores.away.over_time,scores.away.total,home_spread,CUMULATIVE_AVERAGES,home_avg_points_scored_so_far,home_avg_points_allowed_so_far,away_avg_points_scored_so_far,away_avg_points_allowed_so_far,L10_AVERAGES,home_avg_points_scored_L10,home_avg_points_allowed_L10,away_avg_points_scored_L10,away_avg_points_allowed_L10
362179,2023-11-04 00:00:00+00:00,2023-2024,136,Chicago Bulls,134,Brooklyn Nets,30,28,22,27,0.0,107,35,24,19,31,0.0,109,-2,AVERAGES:,107.1,112.9,118.14285714285714,117.85714285714286,L10AVERAGES:,107.1,112.9,118.14285714285714,117.85714285714286
362180,2023-11-04 00:00:00+00:00,2023-2024,147,Miami Heat,161,Washington Wizards,34,26,41,20,0.0,121,34,20,27,33,0.0,114,7,AVERAGES:,108.0,112.8,112.57142857142857,119.57142857142857,L10AVERAGES:,108.0,112.8,112.57142857142857,119.57142857142857
362181,2023-11-04 00:00:00+00:00,2023-2024,152,Oklahoma City Thunder,141,Golden State Warriors,33,34,39,33,0.0,139,38,31,37,35,0.0,141,-2,AVERAGES:,115.9,114.4,117.2,110.5,L10AVERAGES:,115.9,114.4,117.2,110.5
362182,2023-11-04 02:00:00+00:00,2023-2024,139,Denver Nuggets,138,Dallas Mavericks,40,30,32,23,0.0,125,24,31,32,27,0.0,114,11,AVERAGES:,111.5,106.6,114.14285714285714,110.42857142857143,L10AVERAGES:,111.5,106.6,114.14285714285714,110.42857142857143
362183,2023-11-04 02:00:00+00:00,2023-2024,156,Portland Trail Blazers,146,Memphis Grizzlies,33,21,22,26,13.0,115,26,27,24,25,11.0,113,2,AVERAGES:,108.125,115.0,111.0,117.3,L10AVERAGES:,108.125,115.0,111.0,117.3
372321,2023-11-04 17:00:00+00:00,2023-2024,154,Philadelphia 76ers,155,Phoenix Suns,25,27,28,32,0.0,112,24,21,30,25,0.0,100,12,AVERAGES:,115.625,109.125,116.3,111.3,L10AVERAGES:,115.625,109.125,116.3,111.3
372322,2023-11-04 23:00:00+00:00,2023-2024,143,Indiana Pacers,135,Charlotte Hornets,27,19,50,28,0.0,124,27,27,38,33,0.0,125,-1,AVERAGES:,116.44444444444444,120.11111111111111,109.0,116.875,L10AVERAGES:,116.44444444444444,120.11111111111111,109.0,116.875
372323,2023-11-04 23:00:00+00:00,2023-2024,150,New Orleans Pelicans,132,Atlanta Hawks,35,25,23,22,0.0,105,27,26,41,29,0.0,123,-18,AVERAGES:,105.0,109.66666666666667,115.3,113.6,L10AVERAGES:,105.0,109.66666666666667,115.3,113.6
372324,2023-11-04 23:00:00+00:00,2023-2024,153,Orlando Magic,145,Los Angeles Lakers,39,28,34,19,0.0,120,25,26,29,21,0.0,101,19,AVERAGES:,107.5,104.25,112.54545454545455,116.9090909090909,L10AVERAGES:,107.5,104.25,113.0,116.1
372327,2023-11-05 00:00:00+00:00,2023-2024,149,Minnesota Timberwolves,160,Utah Jazz,29,26,37,31,0.0,123,27,23,27,18,0.0,95,28,AVERAGES:,109.125,101.875,113.6,115.6,L10AVERAGES:,109.125,101.875,113.6,115.6
372325,2023-11-05 00:00:00+00:00,2023-2024,134,Brooklyn Nets,133,Boston Celtics,34,24,30,26,0.0,114,34,36,21,33,0.0,124,-10,AVERAGES:,117.0,116.5,121.22222222222223,106.22222222222223,L10AVERAGES:,117.0,116.5,121.22222222222223,106.22222222222223
372326,2023-11-05 00:00:00+00:00,2023-2024,142,Houston Rockets,157,Sacramento Kings,33,26,12,36,0.0,107,19,34,15,21,0.0,89,18,AVERAGES:,109.44444444444444,107.44444444444444,113.66666666666667,115.11111111111111,L10AVERAGES:,109.44444444444444,107.44444444444444,113.66666666666667,115.11111111111111
372328,2023-11-05 01:00:00+00:00,2023-2024,139,Denver Nuggets,136,Chicago Bulls,23,28,35,37,0.0,123,22,31,21,27,0.0,101,22,AVERAGES:,112.72727272727273,107.27272727272727,107.0909090909091,112.54545454545455,L10AVERAGES:,112.5,107.3,107.6,113.3
372329,2023-11-05 20:00:00+00:00,2023-2024,140,Detroit Pistons,155,Phoenix Suns,27,22,31,26,0.0,106,28,30,34,28,0.0,120,-14,AVERAGES:,113.6,114.8,114.81818181818181,111.36363636363636,L10AVERAGES:,113.6,114.8,113.3,109.9
372330,2023-11-05 20:30:00+00:00,2023-2024,158,San Antonio Spurs,159,Toronto Raptors,26,28,32,24,6.0,116,22,13,36,39,13.0,123,-7,AVERAGES:,114.4,115.1,108.77777777777777,103.88888888888889,L10AVERAGES:,114.4,115.1,108.77777777777777,103.88888888888889
372331,2023-11-05 23:00:00+00:00,2023-2024,137,Cleveland Cavaliers,141,Golden State Warriors,29,28,29,29,0.0,115,30,15,32,27,0.0,104,11,AVERAGES:,105.55555555555556,110.0,119.36363636363636,113.0909090909091,L10AVERAGES:,105.55555555555556,110.0,118.8,113.6
