,id,date,league.season,teams.home.id,teams.home.name,teams.away.id,teams.away.name,scores.home.quarter_1,scores.home.quarter_2,scores.home.quarter_3,scores.home.quarter_4,scores.home.over_time,scores.home.total,scores.away.quarter_1,scores.away.quarter_2,scores.away.quarter_3,scores.away.quarter_4,scores.away.over_time,scores.away.total,home_spread,winner,total,WIN_PERCENTAGES,home_win_percentage,away_win_percentage,home_streak,away_streak,CUMULATIVE_AVERAGES,home_avg_points_scored_combined,home_avg_points_allowed_combined,away_avg_points_scored_combined,away_avg_points_allowed_combined,AT_HOME_AVGS,home_avg_points_scored_at_home,home_avg_points_allowed_at_home,ON_ROAD_AVGS,away_avg_points_scored_on_road,away_avg_points_allowed_on_road,L10_AVERAGES,home_avg_points_scored_L10,home_avg_points_allowed_L10,away_avg_points_scored_L10,away_avg_points_allowed_L10,L5_AVERAGES,home_avg_points_scored_L5_at_home,home_avg_points_allowed_L5_at_home,away_avg_points_scored_L5_on_road,away_avg_points_allowed_L5_on_road,DAYS_SINCE,home_days_since_last_game,away_days_since_last_game,H2H,home_h2h_spread,home_h2h_record,away_h2h_record
302,372768,2024-01-19 00:30:00+00:00,2023-2024,151,New York Knicks,161,Washington Wizards,22,24,27,40,0.0,113,22,23,27,37,0.0,109,4,1,222,WIN_PERCENTAGES:,0.6,0.2,1,-1,CUM_AVERAGES:,114.8,110.0,115.5,125.3,AT_HOME_AVGS:,113.2,105.5,ON_ROAD_AVGS:,114.7,124.0,L10AVERAGES:,114.8,104.1,111.0,121.7,L5AVERAGES:,108.6,96.4,108.0,118.8,DAYS_SINCE:,1,3,H2H:,37,2,0
316,372784,2024-01-21 00:30:00+00:00,2023-2024,151,New York Knicks,159,Toronto Raptors,31,28,33,34,0.0,126,31,26,21,22,0.0,100,26,1,226,WIN_PERCENTAGES:,0.6,0.4,2,-1,CUM_AVERAGES:,114.7,110.0,115.0,116.3,AT_HOME_AVGS:,113.2,105.7,ON_ROAD_AVGS:,117.5,120.9,L10AVERAGES:,113.5,101.0,119.4,120.6,L5AVERAGES:,108.8,97.0,125.4,131.2,DAYS_SINCE:,2,2,H2H:,19,2,0
336,372804,2024-01-24 00:30:00+00:00,2023-2024,134,Brooklyn Nets,151,New York Knicks,28,21,36,18,0.0,103,26,24,26,32,0.0,108,-5,0,211,WIN_PERCENTAGES:,0.4,0.6,-1,3,CUM_AVERAGES:,114.2,115.8,115.0,109.7,AT_HOME_AVGS:,115.8,113.1,ON_ROAD_AVGS:,116.0,113.3,L10AVERAGES:,108.9,114.6,114.9,100.4,L5AVERAGES:,118.8,120.8,121.0,111.8,DAYS_SINCE:,2,3,H2H:,-19,0,1
352,372820,2024-01-26 00:30:00+00:00,2023-2024,151,New York Knicks,139,Denver Nuggets,33,29,36,24,0.0,122,21,20,25,18,0.0,84,38,1,206,WIN_PERCENTAGES:,0.6,0.7,4,3,CUM_AVERAGES:,114.8,109.6,115.9,110.9,AT_HOME_AVGS:,113.8,105.4,ON_ROAD_AVGS:,111.8,111.1,L10AVERAGES:,114.1,100.7,118.4,114.8,L5AVERAGES:,110.8,97.0,112.2,112.6,DAYS_SINCE:,2,2,H2H:,0,0,0
364,372832,2024-01-27 20:00:00+00:00,2023-2024,151,New York Knicks,147,Miami Heat,27,34,28,36,0.0,125,30,21,35,23,0.0,109,16,1,234,WIN_PERCENTAGES:,0.6,0.5,5,-5,CUM_AVERAGES:,115.0,109.0,110.5,111.3,AT_HOME_AVGS:,114.2,104.3,ON_ROAD_AVGS:,107.2,107.8,L10AVERAGES:,113.5,99.9,103.7,110.2,L5AVERAGES:,112.8,97.0,97.4,106.0,DAYS_SINCE:,1,1,H2H:,2,1,0
378,372846,2024-01-30 00:00:00+00:00,2023-2024,135,Charlotte Hornets,151,New York Knicks,25,18,24,25,0.0,92,26,20,44,23,0.0,113,-21,0,205,WIN_PERCENTAGES:,0.2,0.6,-3,6,CUM_AVERAGES:,108.9,120.5,115.2,109.0,AT_HOME_AVGS:,108.8,119.8,ON_ROAD_AVGS:,115.6,112.9,L10AVERAGES:,106.9,122.1,113.9,100.3,L5AVERAGES:,107.4,122.4,117.4,104.4,DAYS_SINCE:,2,2,H2H:,-60,0,3
390,372858,2024-01-31 00:30:00+00:00,2023-2024,151,New York Knicks,160,Utah Jazz,29,28,36,25,0.0,118,22,27,24,30,0.0,103,15,1,221,WIN_PERCENTAGES:,0.7,0.5,7,-1,CUM_AVERAGES:,115.2,108.6,117.8,119.9,AT_HOME_AVGS:,114.8,104.5,ON_ROAD_AVGS:,113.1,122.7,L10AVERAGES:,114.0,101.1,128.3,124.5,L5AVERAGES:,119.0,99.2,124.2,131.4,DAYS_SINCE:,1,1,H2H:,-4,0,1
406,372874,2024-02-02 00:30:00+00:00,2023-2024,151,New York Knicks,143,Indiana Pacers,26,25,28,30,0.0,109,36,22,26,21,0.0,105,4,1,214,WIN_PERCENTAGES:,0.7,0.5,8,-1,CUM_AVERAGES:,115.2,108.5,124.8,123.2,AT_HOME_AVGS:,114.9,104.5,ON_ROAD_AVGS:,122.4,126.0,L10AVERAGES:,113.4,98.6,118.1,121.1,L5AVERAGES:,120.8,101.0,116.0,123.4,DAYS_SINCE:,2,2,H2H:,-14,0,1
423,372891,2024-02-04 01:30:00+00:00,2023-2024,151,New York Knicks,145,Los Angeles Lakers,25,34,27,19,0.0,105,27,32,21,33,0.0,113,-8,0,218,WIN_PERCENTAGES:,0.7,0.5,9,1,CUM_AVERAGES:,115.1,108.4,116.0,118.2,AT_HOME_AVGS:,114.7,104.5,ON_ROAD_AVGS:,115.6,122.8,L10AVERAGES:,113.7,99.7,124.2,123.6,L5AVERAGES:,120.0,100.2,123.2,129.8,DAYS_SINCE:,2,2,H2H:,5,1,0
441,372911,2024-02-07 00:30:00+00:00,2023-2024,151,New York Knicks,146,Memphis Grizzlies,33,37,27,26,0.0,123,24,22,28,39,0.0,113,10,1,236,WIN_PERCENTAGES:,0.7,0.4,-1,-5,CUM_AVERAGES:,114.9,108.5,106.9,113.1,AT_HOME_AVGS:,114.2,104.8,ON_ROAD_AVGS:,109.1,114.2,L10AVERAGES:,114.8,101.2,101.6,112.4,L5AVERAGES:,115.8,102.8,102.0,113.6,DAYS_SINCE:,2,2,H2H:,12,1,0
